Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Nick Van Exel,Denver Nuggets,16.5,2.3,7.4,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Moochie Norris,Oklahoma City Thunder,3.2,1.7,2,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Mark Baker,Toronto Raptors,0,0,0,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Mario Elie,San Antonio Spurs,9.7,2.9,1.9,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Mario Bennett,Chicago Bulls,2.3,1.7,0,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Camby,New York Knicks,7.2,5.5,0.3,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Olden Polynice,Oklahoma City Thunder,7.7,8.9,0.9,1998-99,,,,,,,,,,,,,,,,,,,,,,,,
Michael Smith,Washington Wizards,6.3,7.2,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Finley,Dallas Mavericks,22.6,6.3,5.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Stewart,Toronto Raptors,1.4,2.2,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Ruffin,Chicago Bulls,2.2,3.5,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olowokandi,Los Angeles Clippers,9.8,8.2,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Hawkins,Charlotte Hornets,0.7,0.6,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Taylor,Los Angeles Clippers,17.1,6.5,1.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,Chicago Bulls,12,4.3,2.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Dickerson,Memphis Grizzlies,18.2,3.4,2.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Curry,Detroit Pistons,6.2,1.3,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Cage,Brooklyn Nets,1.4,4.1,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bibby,Memphis Grizzlies,14.5,3.7,8.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Matt Maloney,Chicago Bulls,6.4,1.3,2.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Michael Doleac,Orlando Magic,7,4.1,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mikki Moore,Detroit Pistons,7.9,3.9,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Othella Harrington,Memphis Grizzlies,13.1,6.9,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mirsad Turkcan,Milwaukee Bucks,1.9,1.9,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hornacek,Utah Jazz,12.4,2.4,2.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Matt Harpring,Orlando Magic,4,3,2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Brown,Miami Heat,9.6,7.5,1.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Otis Thorpe,Miami Heat,5.5,3.3,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Miller,Phoenix Suns,6.3,5.1,1.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Olden Polynice,Utah Jazz,5.3,5.5,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Obinna Ekezie,Memphis Grizzlies,3.2,2.4,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Nick Van Exel,Denver Nuggets,16.1,3.9,9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Nick Anderson,Sacramento Kings,10.8,4.7,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Nazr Mohammed,Philadelphia 76ers,1.9,1.8,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Muggsy Bogues,Toronto Raptors,5.1,1.7,3.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mookie Blaylock,Golden State Warriors,11.3,3.7,6.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Moochie Norris,Houston Rockets,6.9,2.3,3.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Monty Williams,Orlando Magic,8.7,3.3,1.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Richmond,Washington Wizards,17.4,2.9,2.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Milt Palacio,Memphis Grizzlies,2,1,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Matt Geiger,Philadelphia 76ers,9.7,6,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mario Bennett,Los Angeles Clippers,0,2,0,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Marty Conlon,Los Angeles Clippers,0.7,0.7,0,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Newman,Brooklyn Nets,10,1.9,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Taylor,Orlando Magic,1.8,1,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jon Barry,Sacramento Kings,8,2.6,2.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Bender,Indiana Pacers,2.7,0.9,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jud Buechler,Detroit Pistons,2.2,1.6,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jumaine Jones,Philadelphia 76ers,1.7,1.2,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Wallace,New York Knicks,6.5,2.3,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Howard,Washington Wizards,14.9,5.7,3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Keith Closs,Los Angeles Clippers,4.2,3.1,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Keith Van Horn,Brooklyn Nets,19.2,8.5,2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Cato,Houston Rockets,8.7,6,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Gill,Brooklyn Nets,13.1,3.7,2.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Anderson,Boston Celtics,14,2.7,5.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Thomas,Houston Rockets,8.3,6.1,1.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Karl Malone,Utah Jazz,25.5,9.5,3.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Thomas,Toronto Raptors,2.1,1.4,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Stockton,Utah Jazz,12.1,2.6,8.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Starks,Chicago Bulls,13.9,2.7,4.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jeff McInnis,Los Angeles Clippers,7.2,2.9,3.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jelani McCoy,Oklahoma City Thunder,4.3,3.1,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine O'Neal,Portland Trail Blazers,3.9,3.3,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Kersey,San Antonio Spurs,4.5,3.1,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Williams,Detroit Pistons,8.4,9.6,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Stackhouse,Detroit Pistons,23.6,3.8,4.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jackson,Atlanta Hawks,16.7,5,2.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jim McIlvaine,Brooklyn Nets,2.4,3.5,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Joe Kleine,Portland Trail Blazers,1.6,0.9,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Joe Smith,Minnesota Timberwolves,9.9,6.2,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Joe Stephens,Memphis Grizzlies,3.2,2.8,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Amaechi,Orlando Magic,10.5,3.3,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Celestand,Los Angeles Lakers,2.3,0.7,1.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Crotty,Detroit Pistons,4.7,1.1,1.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
John Salley,Los Angeles Lakers,1.6,1.4,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Keon Clark,Denver Nuggets,8.6,6.2,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Matt Bullard,Houston Rockets,6.8,2.5,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,Minnesota Timberwolves,22.9,11.8,5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Ollie,Philadelphia 76ers,1.8,0.8,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Loy Vaught,Detroit Pistons,1.7,2.1,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Luc Longley,Phoenix Suns,6.3,4.5,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lucious Harris,Brooklyn Nets,6.7,2.4,1.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Malik Rose,San Antonio Spurs,6.7,4.5,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Malik Sealy,Minnesota Timberwolves,11.3,4.3,2.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Brown,Detroit Pistons,1.7,1.2,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Williams,Washington Wizards,1.8,3.1,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Camby,New York Knicks,10.2,7.8,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bryant,Cleveland Cavaliers,5.7,4.7,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mark Davis,Golden State Warriors,6.2,3.7,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hendrickson,Brooklyn Nets,0.9,0.9,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mark Jackson,Indiana Pacers,8.1,3.7,8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mark Strickland,Miami Heat,4.9,2.4,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mark West,Phoenix Suns,0.7,1.4,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Mario Elie,San Antonio Spurs,7.5,3.2,2.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzen Wright,Atlanta Hawks,6,4.1,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Hunter,Detroit Pistons,12.7,3,4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lazaro Borrell,Oklahoma City Thunder,3.6,2.4,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Willis,Toronto Raptors,7.6,6.1,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Reeves,Chicago Bulls,3.7,1.3,4.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kiwane Garris,Orlando Magic,1.3,0.3,0.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,Los Angeles Lakers,22.5,6.3,4.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kornel David,Cleveland Cavaliers,5.6,2.5,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Thomas,New York Knicks,8,6.3,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
LaPhonso Ellis,Atlanta Hawks,8.4,5,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Odom,Los Angeles Clippers,16.6,7.8,4.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lamond Murray,Cleveland Cavaliers,15.9,5.7,1.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lari Ketner,Cleveland Cavaliers,1.5,1.5,0,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Laron Profit,Washington Wizards,1.5,0.8,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Larry Hughes,Golden State Warriors,15,4.3,2.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Larry Johnson,New York Knicks,10.7,5.4,2.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Latrell Sprewell,New York Knicks,18.6,4.3,4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Funderburke,Sacramento Kings,6.4,3.1,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Johnson,Phoenix Suns,6.7,2.7,4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Kerry Kittles,Brooklyn Nets,13,3.6,2.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Jackson,Detroit Pistons,1,1.6,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ewing,New York Knicks,15,9.7,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tony Battie,Boston Celtics,6.6,5,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Toni Kukoc,Philadelphia 76ers,14.8,4.9,4.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tom Hammonds,Minnesota Timberwolves,2.1,1.8,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Todd MacCulloch,Philadelphia 76ers,3.7,2.6,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Todd Fuller,Charlotte Hornets,3.3,2.7,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Todd Day,Phoenix Suns,6.8,2.2,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Toby Bailey,Phoenix Suns,3.5,1.6,0.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tim Young,Golden State Warriors,2.2,1.4,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tim Thomas,Milwaukee Bucks,11.8,4.2,1.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tim Legler,Golden State Warriors,3.3,1,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tim James,Miami Heat,2.8,1,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway,Miami Heat,13.4,2.9,7.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tim Duncan,San Antonio Spurs,23.2,12.4,3.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hamilton,Houston Rockets,3.7,4.1,0.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Theo Ratliff,Philadelphia 76ers,11.9,7.6,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Terry Porter,San Antonio Spurs,9.4,2.8,3.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Terry Mills,Detroit Pistons,6.7,4.8,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Terry Cummings,Golden State Warriors,8.4,4.9,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Brandon,Minnesota Timberwolves,17.1,3.4,8.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tariq Abdul-Wahad,Denver Nuggets,11.4,4.8,1.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Steven Smith,Portland Trail Blazers,14.9,3.8,2.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Steve Nash,Dallas Mavericks,8.6,2.2,4.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Steve Kerr,San Antonio Spurs,2.8,0.6,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Steve Francis,Houston Rockets,18,5.3,6.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Stephon Marbury,Brooklyn Nets,22.2,3.2,8.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Roberts,Philadelphia 76ers,2,3,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Stacey Augmon,Portland Trail Blazers,3.4,2,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tony Delk,Sacramento Kings,6.4,1.9,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sherman Douglas,Brooklyn Nets,6,1.5,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tony Farmer,Golden State Warriors,6.3,4,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tracy McGrady,Toronto Raptors,15.4,6.3,3.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foster,Indiana Pacers,2.3,1.7,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Zan Tabak,Indiana Pacers,2.1,1.8,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
William Avery,Minnesota Timberwolves,2.6,0.7,1.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Will Perdue,Chicago Bulls,2.5,3.9,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Person,Cleveland Cavaliers,9.2,3.4,1.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Turner,Boston Celtics,1.3,1,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Walter McCarty,Boston Celtics,3.8,1.8,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Walt Williams,Houston Rockets,10.9,4,2.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Wally Szczerbiak,Minnesota Timberwolves,11.6,3.7,2.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Voshon Lenard,Miami Heat,11.9,2.9,2.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vonteego Cummings,Golden State Warriors,9.4,2.5,3.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Stepania,Oklahoma City Thunder,2.5,1.6,0.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vlade Divac,Sacramento Kings,12.3,8,3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vitaly Potapenko,Boston Celtics,9.2,6.3,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vinny Del Negro,Milwaukee Bucks,5.2,1.6,2.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vince Carter,Toronto Raptors,25.7,5.8,3.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vin Baker,Oklahoma City Thunder,16.6,7.7,1.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Maxwell,Oklahoma City Thunder,10.9,1.7,1.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tyronn Lue,Los Angeles Lakers,6,1.5,2.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Nesby,Los Angeles Clippers,13.3,3.8,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Hill,Philadelphia 76ers,12,9.2,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Corbin,Sacramento Kings,4.1,3.1,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Troy Hudson,Los Angeles Clippers,8.8,2.4,3.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Travis Knight,Los Angeles Lakers,1.7,2,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Travis Best,Indiana Pacers,8.9,1.7,3.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Trajan Langdon,Cleveland Cavaliers,4.9,1.5,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tracy Murray,Washington Wizards,10.1,3.4,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Tony Massenburg,Houston Rockets,4.6,2.7,0.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Marion,Phoenix Suns,10.2,6.5,1.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Kemp,Cleveland Cavaliers,17.8,8.8,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Bradley,Dallas Mavericks,8.4,6.5,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Robert Pack,Dallas Mavericks,8.9,1.4,5.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Robert Horry,Los Angeles Lakers,5.7,4.8,1.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rik Smits,Indiana Pacers,12.9,5.1,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Davis,Charlotte Hornets,4.7,1.7,1.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rick Hughes,Dallas Mavericks,3.9,2.3,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rick Fox,Los Angeles Lakers,6.5,2.4,1.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rick Brunson,New York Knicks,1.9,0.7,1.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Richard Hamilton,Washington Wizards,9,1.8,1.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rex Walters,Miami Heat,2.8,1.1,2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rex Chapman,Phoenix Suns,6.6,1.5,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Miller,Indiana Pacers,18.1,3,2.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Jordan,Washington Wizards,1.1,1.1,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Ray Allen,Milwaukee Bucks,22.1,4.4,3.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rasho Nesterovic,Minnesota Timberwolves,5.7,4.6,1.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Wallace,Portland Trail Blazers,16.4,7,1.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Lewis,Oklahoma City Thunder,8.2,4.1,0.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Randy Livingston,Phoenix Suns,4.8,1.6,2.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Randy Brown,Chicago Bulls,6.4,2.4,3.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Randell Jackson,Dallas Mavericks,0,0,0,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rafer Alston,Milwaukee Bucks,2.2,0.9,2.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Raef LaFrentz,Denver Nuggets,12.4,7.9,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Lewis,Utah Jazz,3.8,1.5,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Popeye Jones,Denver Nuggets,2.6,2.6,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Pete Chilcutt,Los Angeles Clippers,2.1,2.3,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Pervis Ellison,Boston Celtics,1.8,2.2,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Peja Stojakovic,Sacramento Kings,11.9,3.7,1.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,Boston Celtics,19.5,5.4,3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Robert Traylor,Milwaukee Bucks,3.6,2.6,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rod Strickland,Washington Wizards,12.6,3.8,7.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Buford,Miami Heat,4.3,1.4,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Rogers,Phoenix Suns,13.8,5.5,2.1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shareef Abdur-Rahim,Memphis Grizzlies,20.3,10.1,3.3,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille O'Neal,Los Angeles Lakers,29.7,13.6,3.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shandon Anderson,Houston Rockets,12.3,4.7,2.9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Shammond Williams,Oklahoma City Thunder,5.2,1.2,1.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sean Rooks,Dallas Mavericks,4.4,3.5,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sean Marks,Toronto Raptors,1.6,0.4,0,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sean Elliott,San Antonio Spurs,6,2.5,1.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Scottie Pippen,Portland Trail Blazers,12.5,6.3,5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Scott Williams,Milwaukee Bucks,7.6,6.6,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Scott Padgett,Utah Jazz,2.6,1.9,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Scott Burrell,Brooklyn Nets,6.1,3.5,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Scot Pollard,Sacramento Kings,5.4,5.3,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Samaki Walker,San Antonio Spurs,5.1,3.8,0.5,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Pat Garrity,Orlando Magic,8.2,2.6,0.7,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sam Perkins,Indiana Pacers,6.6,3.6,0.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sam Mack,Golden State Warriors,5,1.7,1,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sam Jacobson,Golden State Warriors,4.9,1.4,0.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Sam Cassell,Milwaukee Bucks,18.6,3.7,9,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Stack,Cleveland Cavaliers,2.1,1.8,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Robertson,Sacramento Kings,5,0,0,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Bowen,Denver Nuggets,2.5,2.2,0.4,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Rusty LaRue,Chicago Bulls,9.3,2.5,2.8,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Patterson,Oklahoma City Thunder,11.6,5.4,1.6,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Roy Rogers,Denver Nuggets,2.2,2,0.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
Roshown McLeod,Atlanta Hawks,7.2,3.1,1.2,1999-00,,,,,,,,,,,,,,,,,,,,,,,,
