Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Herb Williams,New York Knicks,1.9,1.5,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Horace Grant,Orlando Magic,12.6,9,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Williams,Detroit Pistons,1.5,1.5,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Stackhouse,Philadelphia 76ers,20.7,4.2,3.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jackson,Brooklyn Nets,15.9,5.3,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jim McIlvaine,Oklahoma City Thunder,3.8,4,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Carruth,Milwaukee Bucks,1.3,1,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy King,Denver Nuggets,3,1,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Oliver,Toronto Raptors,2.8,1.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Joe Courtney,San Antonio Spurs,2.8,1.8,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Joe Dumars,Detroit Pistons,14.7,2.4,4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Kersey,Los Angeles Lakers,6.8,5.2,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Joe Kleine,Brooklyn Nets,2.8,3.4,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Joe Stephens,Houston Rockets,1.5,1.5,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Joe Wolf,Milwaukee Bucks,1.7,2,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
John Crotty,Miami Heat,4.8,1,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
John Long,Toronto Raptors,4,1.3,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
John Starks,New York Knicks,13.8,2.7,2.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
John Stockton,Utah Jazz,14.4,2.8,10.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
John Wallace,New York Knicks,4.8,2.3,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Newman,Milwaukee Bucks,8.7,2.3,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jon Barry,Atlanta Hawks,4.9,1.7,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Joe Smith,Golden State Warriors,18.7,8.5,1.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Allen,Denver Nuggets,3,1.3,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine O'Neal,Portland Trail Blazers,4.1,2.8,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jeff McInnis,Denver Nuggets,5,0.5,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Horacio Llamas,Phoenix Suns,1.7,0.9,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Hot Rod Williams,Phoenix Suns,8,8.3,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Howard Eisley,Utah Jazz,4.5,1,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Hubert Davis,Toronto Raptors,5,1.1,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ike Austin,Miami Heat,9.7,5.8,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Rider,Portland Trail Blazers,16.1,4,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ivano Newbill,Atlanta Hawks,1.4,2.8,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jack Haley,Brooklyn Nets,2,1.6,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Rose,Indiana Pacers,7.3,1.8,2.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Mashburn,Miami Heat,11.9,4.3,2.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
